operation,strategy,blockSize,fileSizeInBytes,durationInMs
WRITE,BlockByBlockWithBufferedStream,50000000,10485760,35
WRITE,BlockByBlockWithBufferedStream,5000000,10485760,12
WRITE,BlockByBlockWithBufferedStream,500000,10485760,9
WRITE,BlockByBlockWithBufferedStream,50000,10485760,8
WRITE,BlockByBlockWithBufferedStream,5000,10485760,18
WRITE,BlockByBlockWithBufferedStream,500,10485760,13
WRITE,BlockByBlockWithBufferedStream,50,10485760,17
WRITE,BlockByBlockWithBufferedStream,5,10485760,90
WRITE,ByteByByteWithBufferedStream,0,10485760,318
WRITE,BlockByBlockWithoutBufferedStream,50000000,10485760,27
WRITE,BlockByBlockWithoutBufferedStream,5000000,10485760,12
WRITE,BlockByBlockWithoutBufferedStream,500000,10485760,7
WRITE,BlockByBlockWithoutBufferedStream,50000,10485760,7
WRITE,BlockByBlockWithoutBufferedStream,5000,10485760,14
WRITE,BlockByBlockWithoutBufferedStream,500,10485760,56
WRITE,BlockByBlockWithoutBufferedStream,50,10485760,571
WRITE,BlockByBlockWithoutBufferedStream,5,10485760,4316
WRITE,ByteByByteWithoutBufferedStream,0,10485760,20036
READ,BlockByBlockWithBufferedStream,50000000,10485760,57
READ,BlockByBlockWithBufferedStream,5000000,10485760,10
READ,BlockByBlockWithBufferedStream,500000,10485760,4
READ,BlockByBlockWithBufferedStream,50000,10485760,4
READ,BlockByBlockWithBufferedStream,5000,10485760,9
READ,BlockByBlockWithBufferedStream,500,10485760,15
READ,BlockByBlockWithBufferedStream,50,10485760,18
READ,BlockByBlockWithBufferedStream,5,10485760,42
READ,ByteByByteWithBufferedStream,0,10485760,70
READ,BlockByBlockWithoutBufferedStream,50000000,10485760,67
READ,BlockByBlockWithoutBufferedStream,5000000,10485760,11
READ,BlockByBlockWithoutBufferedStream,500000,10485760,5
READ,BlockByBlockWithoutBufferedStream,50000,10485760,4
READ,BlockByBlockWithoutBufferedStream,5000,10485760,7
READ,BlockByBlockWithoutBufferedStream,500,10485760,31
READ,BlockByBlockWithoutBufferedStream,50,10485760,273
READ,BlockByBlockWithoutBufferedStream,5,10485760,2673
READ,ByteByByteWithoutBufferedStream,0,10485760,12269
