operation,strategy,blockSize,fileSizeInBytes,durationInMs
WRITE,BlockByBlockWithBufferedStream,50000000,10485760,52
WRITE,BlockByBlockWithBufferedStream,5000000,10485760,29
WRITE,BlockByBlockWithBufferedStream,500000,10485760,14
WRITE,BlockByBlockWithBufferedStream,50000,10485760,12
WRITE,BlockByBlockWithBufferedStream,5000,10485760,26
WRITE,BlockByBlockWithBufferedStream,500,10485760,20
WRITE,BlockByBlockWithBufferedStream,50,10485760,26
WRITE,BlockByBlockWithBufferedStream,5,10485760,113
WRITE,ByteByByteWithBufferedStream,0,10485760,478
WRITE,BlockByBlockWithoutBufferedStream,50000000,10485760,43
WRITE,BlockByBlockWithoutBufferedStream,5000000,10485760,16
WRITE,BlockByBlockWithoutBufferedStream,500000,10485760,11
WRITE,BlockByBlockWithoutBufferedStream,50000,10485760,9
WRITE,BlockByBlockWithoutBufferedStream,5000,10485760,23
WRITE,BlockByBlockWithoutBufferedStream,500,10485760,91
WRITE,BlockByBlockWithoutBufferedStream,50,10485760,1133
WRITE,BlockByBlockWithoutBufferedStream,5,10485760,5888
WRITE,ByteByByteWithoutBufferedStream,0,10485760,27303
READ,BlockByBlockWithBufferedStream,50000000,10485760,71
READ,BlockByBlockWithBufferedStream,5000000,10485760,14
READ,BlockByBlockWithBufferedStream,500000,10485760,8
READ,BlockByBlockWithBufferedStream,50000,10485760,6
READ,BlockByBlockWithBufferedStream,5000,10485760,11
READ,BlockByBlockWithBufferedStream,500,10485760,15
READ,BlockByBlockWithBufferedStream,50,10485760,54
READ,BlockByBlockWithBufferedStream,5,10485760,69
READ,ByteByByteWithBufferedStream,0,10485760,93
READ,BlockByBlockWithoutBufferedStream,50000000,10485760,62
READ,BlockByBlockWithoutBufferedStream,5000000,10485760,13
READ,BlockByBlockWithoutBufferedStream,500000,10485760,5
READ,BlockByBlockWithoutBufferedStream,50000,10485760,5
READ,BlockByBlockWithoutBufferedStream,5000,10485760,8
READ,BlockByBlockWithoutBufferedStream,500,10485760,41
READ,BlockByBlockWithoutBufferedStream,50,10485760,367
READ,BlockByBlockWithoutBufferedStream,5,10485760,3627
READ,ByteByByteWithoutBufferedStream,0,10485760,17292
